country,improvement,lockdown
Poland,11.437198920845375,True
Costa Rica,9.610020550571393,False
Germany,9.477899949559085,True
Ukraine,9.205784045003066,False
Russia,9.030593017265446,False
Jordan,9.014772485619178,True
Albania,8.414533202523048,False
Canada,7.978631576604952,False
Belarus,7.169732400293527,False
Colombia,7.163577453647007,True
Azerbaijan,6.979376002966306,False
Romania,6.907961746792719,True
Bulgaria,6.882831655985284,True
Europe,6.8329332069290905,False
Malta,6.829993656399465,True
Curacao,6.8195139498087105,False
France,6.747148813798556,True
Italy,6.735793770170722,True
Jersey,6.621559736201549,False
Puerto Rico,6.4419196890861565,False
United Arab Emirates,6.0377224322631955,False
Hungary,6.02237786476978,True
Turkey,5.822677228024727,False
Kosovo,5.57022702986697,False
Sint Maarten (Dutch part),5.438826538997629,False
Austria,5.361675627105803,True
Bosnia and Herzegovina,5.331217126228621,True
Latvia,5.163721320673676,False
Palestine,5.030799629852336,False
Argentina,4.849160360196415,False
Iran,4.796151757526405,False
Brazil,4.571439325131775,False
Denmark,4.557903835135762,False
Paraguay,4.529392387072461,False
South America,4.4188174417510275,False
Belize,4.381588644040069,False
Greece,4.30544014321443,True
Libya,3.979263570880019,False
European Union (27),3.9547439323580362,False
Mexico,3.8941259575486544,False
Tunisia,3.8573397130310214,True
Norway,3.8531666190010725,False
World,3.7738766351342,False
South Africa,3.7556598055867485,True
North Macedonia,3.7329292197601887,True
Namibia,3.725936904071792,False
Spain,3.7045426232984306,True
Martinique,3.6668879833053944,False
Morocco,3.6403084673786674,True
Monaco,3.604369795820352,False
High-income countries,3.587020436102275,False
United States Virgin Islands,3.580850915350493,False
Bermuda,3.5008999020566667,False
Cape Verde,3.401252230194364,False
Dominican Republic,3.3917111554959636,False
Turks and Caicos Islands,3.346909978745101,False
Cyprus,3.3293603562418483,False
Estonia,3.3244654562846647,False
Slovakia,3.31809183849344,True
Suriname,3.2952983833747593,False
Iceland,3.171595437140251,False
Eswatini,3.1500768557387686,False
Kazakhstan,3.1324428184841784,False
Bahamas,3.0753882139336297,False
Honduras,3.053570803327536,False
Isle of Man,3.0242787301806016,False
Saint Barthelemy,3.018188368508096,False
Iraq,3.003382354694974,False
Moldova,2.997158282583452,False
Reunion,2.99704964446097,False
Saint Martin (French part),2.966966554117655,False
North America,2.932927455643698,False
Guadeloupe,2.929670418535564,False
Bolivia,2.9195594249335985,True
Guernsey,2.9146431924381377,False
Nepal,2.911254582325706,False
Ecuador,2.89159449879993,True
Lebanon,2.874054020165735,True
Finland,2.8426958789557117,False
Djibouti,2.8171468737085785,False
Saudi Arabia,2.7696303773710533,False
Portugal,2.7610997839587696,True
Mayotte,2.7585888285456925,False
Faroe Islands,2.7527371853846763,False
Guatemala,2.741092875725303,False
El Salvador,2.7362572389564015,True
Switzerland,2.6942097035558072,False
Falkland Islands,2.660333013483819,False
Guyana,2.659629421395197,False
Upper-middle-income countries,2.6493373270993987,False
Uruguay,2.614882964517917,False
India,2.589815107812612,True
Singapore,2.5852070008548425,False
French Guiana,2.4953898062532534,False
Aruba,2.488720296494191,False
Maldives,2.441753316523402,False
French Polynesia,2.40492248016813,False
Chile,2.3677335739385263,False
Serbia,2.3206748265169077,True
Belgium,2.3003596147096244,True
Cayman Islands,2.283445108072862,False
Sao Tome and Principe,2.251010278389138,False
Netherlands,2.2290073354830837,False
Bonaire Sint Eustatius and Saba,2.192157009803866,False
Montserrat,2.177254683950848,False
Guam,2.1541468603760903,False
Oman,2.118977571307611,False
Sweden,2.0719429972656442,False
Kuwait,2.0385365148895738,False
Gabon,2.015058746909741,False
Botswana,1.9885695833769566,False
Trinidad and Tobago,1.954493972648737,False
Israel,1.9359686027074103,True
Peru,1.930849992536668,True
Croatia,1.9273920621143903,True
Armenia,1.8388301247842407,False
Jamaica,1.7274306148940866,False
Vatican,1.7233324369615304,False
United Kingdom,1.691412104473655,True
Ireland,1.6792147204120116,True
Equatorial Guinea,1.6770411984075655,False
Lower-middle-income countries,1.668257536396765,False
Georgia,1.569952508130127,False
British Virgin Islands,1.5234396138485493,False
Philippines,1.4928521975213558,True
Venezuela,1.4777155830541262,False
Luxembourg,1.463770059937942,False
Lithuania,1.4574652861777888,True
Asia,1.4548167222406332,False
Liechtenstein,1.4450840360826067,False
Slovenia,1.432018746643965,True
Montenegro,1.3504373784469001,False
Malaysia,1.3100866065369854,True
Bahrain,1.3037682130478123,False
Mauritania,1.2525421511492703,False
Saint Pierre and Miquelon,1.2492955030804296,False
United States,1.2254421774460056,False
Panama,1.2016106089842173,False
Czechia,1.173819085803524,True
Qatar,1.1553212041915442,False
Bangladesh,0.9870168525177451,False
Seychelles,0.8884638242872352,False
San Marino,0.8715011612867531,False
Myanmar,0.8677880245711825,False
Indonesia,0.8396439436326235,False
Saint Lucia,0.7891902072337387,False
Andorra,0.7819169313437229,False
Sri Lanka,0.7775902219496494,False
Northern Mariana Islands,0.7592698052579465,False
Gambia,0.7255150236935993,False
Algeria,0.6865329650907734,False
Pakistan,0.6817702770268461,True
Antigua and Barbuda,0.6377715580592176,False
Japan,0.6076087445667309,False
Kenya,0.5785527254349723,False
Ghana,0.5751357639199208,False
Grenada,0.5547925607294898,False
Africa,0.5445899816278992,False
Dominica,0.4998282559089668,False
Central African Republic,0.47833542920651745,False
Guinea-Bissau,0.46756332214124946,False
Gibraltar,0.45689049794833747,False
Anguilla,0.45010088735806375,False
Afghanistan,0.44222744247393736,False
Australia,0.428540844802609,False
Tajikistan,0.41731114810914316,False
South Korea,0.40599897925966705,False
Egypt,0.398965962403154,False
Barbados,0.3949238884899046,False
Congo,0.359627876866336,False
Lesotho,0.35853044860767547,False
Oceania,0.3563685812477969,False
Saint Vincent and the Grenadines,0.35013135440246673,False
Zambia,0.3178454230105414,False
Haiti,0.3150457632126292,False
Bhutan,0.3137342433442953,False
Senegal,0.29978417478891883,False
Ethiopia,0.29978046525704244,False
Saint Kitts and Nevis,0.2875025024035114,False
Cuba,0.28487767640087996,False
Cameroon,0.2773453780872532,False
Comoros,0.2635531428488108,False
Zimbabwe,0.2574280582587033,False
Cote d'Ivoire,0.2544239402917929,False
Uganda,0.25381154130491296,False
Guinea,0.25120791121774805,False
Madagascar,0.22964022816865448,False
Nicaragua,0.22567844598858414,False
Greenland,0.21947325408732543,False
Brunei,0.21251927167371432,False
Mauritius,0.18604188422103715,False
Wallis and Futuna,0.18579604956443974,False
Rwanda,0.1797074133944957,False
Sudan,0.15951215020220053,False
Mozambique,0.15852390628885624,False
New Zealand,0.1565938622687232,True
Angola,0.15341635294391853,False
Syria,0.14805512424640618,False
Mongolia,0.13556136822191842,False
Eritrea,0.1230236360687922,False
Low-income countries,0.11766650141246925,False
Burkina Faso,0.11409372980776296,False
Malawi,0.11014662235876098,False
South Sudan,0.1058799159025332,False
Nigeria,0.10189815642846002,False
Togo,0.09749649328336514,False
