country,improvement,lockdown
Vatican,0.613819045295589,False
Guernsey,0.5676756949365617,False
Gibraltar,0.567486099975664,False
Isle of Man,0.5657033410301514,False
Marshall Islands,0.5610127861832254,False
Samoa,0.560617945310665,False
Vanuatu,0.5606061974720155,False
Montserrat,0.5605392458086114,False
Wallis and Futuna,0.5593952390167619,False
Falkland Islands,0.5583353797312287,False
Uzbekistan,0.5581584205438548,False
Saint Pierre and Miquelon,0.5577819609139528,False
Djibouti,0.5577015946503228,False
Laos,0.5576222453312903,False
New Caledonia,0.5573481947378277,False
Grenada,0.5569996093615119,False
New Zealand,0.5567589524618763,True
Greenland,0.5566472428562225,False
Mauritius,0.5566127814016714,False
British Virgin Islands,0.5562606734073418,False
Brunei,0.5561383540942307,False
Gambia,0.556073833096013,False
Antigua and Barbuda,0.5560569438696273,False
Tanzania,0.556043090556508,False
Sao Tome and Principe,0.5559355557046834,False
East Timor,0.5558727079632078,False
Cambodia,0.555651755372951,False
Solomon Islands,0.5556263942023638,False
Guinea-Bissau,0.5554054501761168,False
Saint Kitts and Nevis,0.5551534054382116,False
China,0.5550609571832112,False
Vietnam,0.5550499312984236,False
Nicaragua,0.5548289614884877,False
Fiji,0.5546530333853565,False
South Sudan,0.5546175782293972,False
Benin,0.5546119679089977,False
Papua New Guinea,0.5545804267823851,False
Somalia,0.5544026936741996,False
Central African Republic,0.5543590658391294,False
Madagascar,0.5543583725598795,False
Haiti,0.5543235506999603,False
Yemen,0.5543082909853417,False
Liberia,0.5539734469573402,False
Australia,0.5538942773562039,False
Tajikistan,0.5537683570943512,False
Dominica,0.5535172901966356,False
Afghanistan,0.5535034053398136,False
Anguilla,0.553467380950302,False
Cote d'Ivoire,0.5533674145151296,False
Cameroon,0.5532366431477289,False
Angola,0.5530260342902689,False
Guinea,0.5527071514496295,False
Ethiopia,0.5526808551586112,False
Oceania,0.5525301528134651,False
Sierra Leone,0.5525010266281103,False
Guadeloupe,0.5524559225820571,False
Ghana,0.5524473599161699,False
Trinidad and Tobago,0.5521245430842316,False
Bonaire Sint Eustatius and Saba,0.5517582818301088,False
Equatorial Guinea,0.551507708609602,False
Uganda,0.551441835780288,False
Low-income countries,0.5512929547778508,False
Sudan,0.5512031822003995,False
Pakistan,0.5510804780778579,True
Gabon,0.5508900859794601,False
Kenya,0.5508600822512318,False
Togo,0.5507292633168638,False
Syria,0.5506067057813456,False
Myanmar,0.5504306315211156,False
Northern Mariana Islands,0.550353537752722,False
Egypt,0.5502525199405273,False
Niger,0.5500417437331313,False
Faroe Islands,0.5497770639695538,False
Mali,0.5497702452461335,False
Democratic Republic of Congo,0.5497260685982094,False
Bangladesh,0.5496210145711192,False
Mauritania,0.5496021380371783,False
Algeria,0.5493206949318672,False
Singapore,0.5491355507647203,False
Mozambique,0.5489545350918058,False
Congo,0.5488871674199954,False
Senegal,0.5487756501652418,False
Venezuela,0.5484920548660775,False
Sri Lanka,0.5484139039803467,False
Mongolia,0.5483871459548088,False
Burkina Faso,0.5482163965951936,False
Jamaica,0.5481969113750108,False
Philippines,0.5478940418569307,True
Saint Lucia,0.5478710182857915,False
Bermuda,0.5478370643737446,False
Rwanda,0.5478098256007988,False
Nigeria,0.5475275809770986,False
Burundi,0.547157389041832,False
South Korea,0.5468529586962098,False
Malawi,0.546623714320601,False
Cayman Islands,0.54624059874409,False
Chad,0.5460015078417677,False
Africa,0.5458378153584078,False
Jersey,0.545489934534006,False
