country,improvement,lockdown
South America,13.188785648866526,False
Brazil,12.542116163168506,False
Costa Rica,12.267810562797454,False
Colombia,11.735390381951392,True
Argentina,10.157553419852453,False
Russia,9.581769055789644,False
Ukraine,9.215886524318584,False
United Arab Emirates,9.06623084052817,False
Europe,8.884891558789008,False
Puerto Rico,8.774729560425557,False
Belarus,8.768417680128882,False
Jordan,8.52520582781098,True
Albania,8.445861883642568,False
Germany,8.421286666384805,True
Romania,8.411741459936806,True
Paraguay,8.325067448623459,False
Libya,8.226239707024282,False
North America,8.068230701813961,False
Moldova,7.9676028951215185,False
Palestine,7.8045474060975275,False
Peru,7.793702389944834,True
Dominican Republic,7.728601996971307,False
Iraq,7.722852076950941,False
Bulgaria,7.575090964661798,True
Hungary,7.509866867318778,True
Bolivia,7.505345290870533,True
Kuwait,7.441893554170743,False
Bosnia and Herzegovina,7.389454693496917,True
Spain,7.352293709457258,True
Kosovo,7.331351737872842,False
Chile,7.3214412396063056,False
Canada,7.31357777640452,False
Italy,7.2484465387197154,True
Oman,7.226716408019705,False
Turkey,7.200514393646516,False
North Macedonia,7.163241725541684,True
Greece,7.163235417249872,True
Poland,7.112357555111694,True
Iran,6.930847174331625,False
Morocco,6.884727106691356,True
Saudi Arabia,6.871740178410858,False
South Africa,6.837539776637445,True
Azerbaijan,6.802366116959105,False
Singapore,6.78822173929613,False
Slovakia,6.5978769415973675,True
Latvia,6.481529599447781,False
Tunisia,6.442216545869948,True
France,6.412976156487679,True
Netherlands,6.289362151491876,False
Denmark,6.261554897404135,False
Austria,6.2157757524991,True
Honduras,6.035412568613114,False
Portugal,5.920946672200425,True
Mexico,5.894036242197309,False
Sweden,5.833772792584956,False
Lebanon,5.831305933661454,True
European Union (27),5.7251333768927095,False
Switzerland,5.680005297753895,False
Kazakhstan,5.587292404915617,False
World,5.5122343280005195,False
United States,5.415085823889568,False
Nepal,5.394716587684753,False
Ecuador,5.2110499603964815,True
Norway,5.009972617437315,False
Armenia,4.993428164299175,False
Croatia,4.954591198557851,True
Namibia,4.905694478304901,False
Israel,4.858000277192206,True
Panama,4.826392709393521,False
High-income countries,4.7326968288629345,False
Slovenia,4.724864704159893,True
Estonia,4.6975034110881655,False
Serbia,4.632811311432798,True
India,4.456596969020209,True
Guatemala,4.301895362366731,False
Upper-middle-income countries,4.30115269866651,False
Finland,4.178988040223439,False
Uruguay,4.176812550181656,False
Georgia,4.161118215618322,False
United Kingdom,4.09633441157023,True
Bahrain,4.0580580618372935,False
Lithuania,4.057677270961766,True
El Salvador,3.992882290088001,True
Qatar,3.9054195052647955,False
Eswatini,3.804391114266128,False
Belgium,3.752286618370806,True
Czechia,3.6626877188221685,True
Djibouti,3.579033470196269,False
Trinidad and Tobago,3.3821374702946057,False
Botswana,3.2885978476628632,False
Jamaica,2.9450866865831187,False
Lower-middle-income countries,2.6797781654685884,False
Gabon,2.67747203294575,False
Venezuela,2.460587314502369,False
Philippines,2.4138837923065797,True
Malaysia,2.4113400626016506,True
Equatorial Guinea,2.3673958467061764,False
Asia,2.354395117633355,False
Ireland,2.2352490987008826,True
Mauritania,2.0808433801964803,False
Myanmar,1.7212352041941075,False
Bangladesh,1.6117445905421948,False
Sri Lanka,1.5582390099607109,False
Indonesia,1.5407492567694316,False
Gambia,1.3982908242578267,False
Algeria,1.2610253568965475,False
Pakistan,1.2185144806153192,True
Japan,1.1782349628620719,False
Kenya,1.1238677024355905,False
Ghana,1.0519193124749864,False
Africa,1.0230722765627602,False
Central African Republic,0.9273949452374486,False
Afghanistan,0.8465328565450098,False
Australia,0.827975365570702,False
South Korea,0.8204771770922302,False
Tajikistan,0.7961953763235583,False
Egypt,0.771883944547285,False
Congo,0.7035100530636572,False
Oceania,0.7004789807906816,False
Lesotho,0.6589924311022182,False
Zambia,0.641316772692632,False
Haiti,0.6318999414827403,False
Ethiopia,0.6142940929651008,False
Senegal,0.5924968846333433,False
Cuba,0.5852848890553367,False
Cameroon,0.5522637397290621,False
Uganda,0.5410053935872731,False
Zimbabwe,0.5363853737469504,False
Cote d'Ivoire,0.5155391525280386,False
Guinea,0.5001910124247667,False
Madagascar,0.4792522891840044,False
Mauritius,0.3883252010198146,False
Rwanda,0.3815527229075906,False
Mozambique,0.33973713540766437,False
Sudan,0.3390753291703727,False
Angola,0.33121831115706757,False
New Zealand,0.3285692625711316,True
Syria,0.31997455137803343,False
Mongolia,0.2941806413826053,False
Low-income countries,0.25188089875958053,False
Burkina Faso,0.2507723190677777,False
Malawi,0.23816856949782045,False
South Sudan,0.22697912617133695,False
Nigeria,0.22048341926108253,False
Togo,0.21099749470505932,False
Liberia,0.20596524077820916,False
Mali,0.18239576396050647,False
Somalia,0.16515108068145257,False
Benin,0.1490197172095714,False
Democratic Republic of Congo,0.10336909782662969,False
Thailand,0.08642642347979673,False
Papua New Guinea,0.06056897494608208,False
Yemen,0.0462851782119496,False
East Timor,0.03667041339187373,False
Burundi,0.035465587734564846,False
Cambodia,0.016164057748621508,False
Tanzania,0.01107540256708692,False
Vietnam,0.010450566346185188,False
China,0.008141641398659161,False
Laos,0.005439672386722759,False
Uzbekistan,0.00046895171448772084,False
Kyrgyzstan,0.0,False
