country,improvement,lockdown
Latvia,4.754611766839755,False
Denmark,4.483852381364242,False
Malaysia,4.377663917362766,True
Lithuania,4.0004364494447175,True
Sri Lanka,2.9433786373478177,False
Azerbaijan,2.8106932255294668,False
Uruguay,2.7170628278316076,False
Germany,2.5898472741365244,True
Albania,2.582447889795816,False
Serbia,2.581690759805313,True
Croatia,2.550666582366164,True
Slovakia,2.5460613032314665,True
Georgia,2.292766024394181,False
Ukraine,2.246580354671369,False
Sweden,2.228599560518674,False
Hungary,2.1578037832987484,True
Japan,2.1554244883148033,False
South Korea,2.0941737006722154,False
Slovenia,2.014301187240079,True
Tunisia,2.013617271829809,True
Palestine,1.9563957069309847,False
Myanmar,1.9481053837505233,False
Bulgaria,1.9127408670737496,True
Jordan,1.88306844837992,True
Canada,1.821192669590721,False
Netherlands,1.8042980141158234,False
Botswana,1.780551950645218,False
United Kingdom,1.7790425970390056,True
Romania,1.715856118607665,True
Greece,1.6857478283258251,True
Turkey,1.654261059225793,False
Poland,1.64778385192875,True
Lebanon,1.6407673135813663,True
Europe,1.6396633308098574,False
Portugal,1.6362875016218439,True
Austria,1.6250830125709719,True
Italy,1.5993274636291652,True
Uganda,1.5724778075088963,False
North Macedonia,1.5670531558178706,True
Switzerland,1.5417779293523146,False
Estonia,1.5096696977210649,False
Indonesia,1.4964284642970787,False
Norway,1.4542559573353389,False
Morocco,1.441436489969929,True
Kosovo,1.4311623610650002,False
Bosnia and Herzegovina,1.4050725122841532,True
Puerto Rico,1.376828291812356,False
Finland,1.359673034150176,False
Namibia,1.3470093796100608,False
Cuba,1.3212579919318201,False
Czechia,1.3104512687984426,True
Paraguay,1.256472707994815,False
France,1.228048716640236,True
Libya,1.1739460849262033,False
Kenya,1.1353671095904159,False
Iran,1.1305550498049421,False
North America,1.107945763291641,False
Moldova,1.101247058073429,False
Russia,1.0987233705975359,False
World,1.0849808913933698,False
Nepal,1.0699961442168249,False
Sudan,1.0589389183609785,False
Mauritania,1.0550301487881173,False
Syria,1.0476576154990038,False
United States,1.0435738959200447,False
Belgium,1.03835642924976,True
Rwanda,1.03476208066751,False
Jamaica,1.017551187157476,False
Zimbabwe,0.992158491775419,False
Algeria,0.962553945026044,False
Belarus,0.9571768553582374,False
Mongolia,0.9447948860501882,False
Costa Rica,0.9280880291394379,False
Armenia,0.9164678018539895,False
Mozambique,0.9127094026601582,False
Angola,0.9107012992322461,False
Mauritius,0.8980615083257664,False
Trinidad and Tobago,0.886364551735898,False
New Zealand,0.8780453106885381,True
Africa,0.8776381219556207,False
Ethiopia,0.8610688129567582,False
Eswatini,0.8599081538700757,False
Asia,0.8386055559527091,False
Panama,0.8348171222083028,False
Burkina Faso,0.8195031422877229,False
Spain,0.8188231518681458,True
Colombia,0.8135980902672557,True
Low-income countries,0.8118330040033742,False
Gambia,0.797513722772692,False
Lesotho,0.7943642334970401,False
Togo,0.7864581881899758,False
European Union (27),0.7823419089698501,False
Lower-middle-income countries,0.7760558939757316,False
Argentina,0.772853802089822,False
United Arab Emirates,0.7725197578228877,False
Israel,0.7626311438544362,True
Oceania,0.7626041914104803,False
Zambia,0.7541715258400438,False
Ireland,0.7494874268782934,True
Venezuela,0.7404434910491439,False
Mexico,0.7402369284003563,False
India,0.7364055794713411,True
South Sudan,0.7360545437262269,False
Nigeria,0.7348194713196411,False
Mali,0.7287198355161928,False
Congo,0.7210178239465759,False
South Africa,0.7133960318363923,True
Madagascar,0.71028983647444,False
Philippines,0.7033245063567488,True
Iraq,0.6875995059159242,False
Liberia,0.682062840213859,False
Pakistan,0.6810564225231135,True
Malawi,0.6729558514003832,False
El Salvador,0.6689867748221978,True
High-income countries,0.6648147005201691,False
Kazakhstan,0.637801581200863,False
Haiti,0.6371614104649862,False
Tajikistan,0.6334395500907306,False
Somalia,0.633361219856051,False
Egypt,0.6325647693356359,False
Australia,0.6317745688497554,False
Afghanistan,0.6301377246212415,False
Guatemala,0.625944772974307,False
Honduras,0.6256013559420238,False
Central African Republic,0.6204008460442216,False
South America,0.6110769951593005,False
Brazil,0.6016945710369613,False
Senegal,0.5994140352642415,False
Cote d'Ivoire,0.5991753474675002,False
Dominican Republic,0.5941121001827199,False
Cameroon,0.5930253992084781,False
Bangladesh,0.576468250853489,False
Upper-middle-income countries,0.566210336227329,False
Ghana,0.5640188655454846,False
Djibouti,0.5553052625113858,False
Benin,0.5541839179904501,False
Ecuador,0.5467893621309491,True
Guinea,0.5460511877020187,False
Bolivia,0.5383717527991901,True
Oman,0.524629617469866,False
Equatorial Guinea,0.5047831402063128,False
Chile,0.5025163528023695,False
Gabon,0.4936355413079689,False
Kuwait,0.4867912101843116,False
Peru,0.4849657880695927,True
Bahrain,0.457879060506328,False
Saudi Arabia,0.45520597132572405,False
Singapore,0.4415796733583956,False
Qatar,0.4367945804180443,False
Democratic Republic of Congo,0.39266310151250783,False
Thailand,0.2955953981693383,False
Papua New Guinea,0.19719081465700408,False
Yemen,0.1629964164609435,False
East Timor,0.12506237144807822,False
Burundi,0.11619595888670664,False
Cambodia,0.052965633925293416,False
Tanzania,0.03535680402509918,False
Vietnam,0.032924897167123046,False
China,0.02595170955897356,False
Laos,0.01737653502469921,False
Uzbekistan,0.001490116718631955,False
Kyrgyzstan,0.0,False
