country,improvement,lockdown
Panama,1.070220444022871,False
Gibraltar,1.0517430363993765,False
United States,0.9803659497595593,False
North America,0.8563971170506964,False
Liechtenstein,0.8400177912493145,False
Netherlands,0.8108050486454538,False
Slovenia,0.808817172753391,True
Montenegro,0.8004555167384028,False
Lithuania,0.7833536811821303,True
Moldova,0.7827575681852753,False
Sweden,0.7700855552542075,False
United Kingdom,0.7508532078108595,True
Serbia,0.7470271789579919,True
Portugal,0.7400264935150833,True
Colombia,0.7360772858629839,True
Sint Maarten (Dutch part),0.7339329225152167,False
Switzerland,0.7276114632360204,False
Croatia,0.7168190235599778,True
Lebanon,0.706224276953489,True
San Marino,0.7027165270957579,False
Costa Rica,0.7024049575212139,False
Georgia,0.6975821904845405,False
Brazil,0.6972682588854009,False
South America,0.6966156366781546,False
North Macedonia,0.6919959805878192,True
Europe,0.6899364562175606,False
Italy,0.6856312532989213,True
Austria,0.6841712251066288,True
Czechia,0.6796486157604921,True
Saint Martin (French part),0.6765900646747449,False
Poland,0.6748365203384118,True
Slovakia,0.6735046711104848,True
High-income countries,0.6720179868824308,False
Bosnia and Herzegovina,0.6719905510615681,True
Romania,0.6696106570065993,True
Palestine,0.6669796943621614,False
Hungary,0.6599523172522818,True
France,0.6581533487902821,True
Spain,0.6502265057415845,True
Bulgaria,0.645690430663899,True
Kosovo,0.6443942375892212,False
Puerto Rico,0.6364000000642108,False
Jordan,0.6350304713140725,True
Turkey,0.6335096778950873,False
Denmark,0.6296156758577818,False
Malta,0.6292640484988073,True
Belize,0.6284430306573968,False
Ukraine,0.6273758339988119,False
Argentina,0.6270638005906924,False
Jersey,0.6259251090126873,False
Estonia,0.621151921482742,False
Israel,0.613928708837824,True
United Arab Emirates,0.6136011278364357,False
European Union (27),0.6127379778359863,False
Curacao,0.6098764325212479,False
Cyprus,0.6081994144996787,False
Luxembourg,0.6076432613987038,False
United States Virgin Islands,0.6062281378860503,False
Turks and Caicos Islands,0.6041546984458017,False
Guadeloupe,0.603782054049799,False
Russia,0.6022237610054915,False
Samoa,0.6000631604667492,False
Vanuatu,0.5970467524039732,False
Latvia,0.5961829215217389,False
Azerbaijan,0.5952641732212215,False
Germany,0.588805717107489,True
Chile,0.5859074752899192,False
Belarus,0.5840590397275015,False
Albania,0.5831069845316172,False
Maldives,0.5829735369831208,False
Uzbekistan,0.581831685021985,False
Marshall Islands,0.580504143626469,False
Cape Verde,0.5791045677622562,False
Bahamas,0.5771638516167393,False
South Africa,0.5750623216234253,True
Vatican,0.5740699058821033,False
Martinique,0.573745912845714,False
Saint Barthelemy,0.5735063389608612,False
Monaco,0.573076448713535,False
Mayotte,0.572214936382033,False
Greece,0.564101876788572,True
Iceland,0.5602780214802427,False
Oman,0.5586565965634605,False
Ireland,0.5581123329182454,True
French Polynesia,0.5574267902135085,False
Grenada,0.5519468032143939,False
Falkland Islands,0.549670354357954,False
Bonaire Sint Eustatius and Saba,0.5490587894312076,False
Paraguay,0.5488564607296573,False
Guernsey,0.546403136315483,False
Solomon Islands,0.5457575089766195,False
Wallis and Futuna,0.545642115655839,False
Libya,0.5435676120232176,False
Uruguay,0.5428274619505576,False
Isle of Man,0.5425794324339779,False
Bermuda,0.5405246621696682,False
Faroe Islands,0.539237458814134,False
Anguilla,0.5379488057138848,False
Canada,0.5329091039419681,False
Dominican Republic,0.532051885145683,False
Bolivia,0.5306199615956796,True
Guam,0.5302994551906252,False
Singapore,0.5300976559862386,False
Tunisia,0.5284788835497314,True
British Virgin Islands,0.5269739768301742,False
Tanzania,0.5251019855730733,False
Peru,0.5244364843675431,True
Iraq,0.5197055731121778,False
Montserrat,0.5193891944346484,False
Morocco,0.5190471914982902,True
Suriname,0.5185451255264926,False
East Timor,0.518099405938259,False
Iran,0.5160550511455791,False
Namibia,0.510975230537986,False
Saint Lucia,0.5094499483628219,False
Gambia,0.5086865666880513,False
Brunei,0.5072384979317159,False
Djibouti,0.50609970912461,False
Nepal,0.5042443763228601,False
Saudi Arabia,0.5039300678837605,False
Kazakhstan,0.5037483832748868,False
Kuwait,0.5003959100871345,False
Reunion,0.4992284198202673,False
Saint Pierre and Miquelon,0.4987968024919261,False
Laos,0.49871598321488875,False
Sri Lanka,0.4975815359109707,False
Burkina Faso,0.4973248334463874,False
Eritrea,0.49701978411567177,False
Greenland,0.4966287931726678,False
Malaysia,0.49491061680912074,True
Norway,0.49399008963886776,False
French Guiana,0.49215446100040794,False
Honduras,0.491648589239262,False
Trinidad and Tobago,0.49075118782413335,False
Mongolia,0.48980639620092964,False
Niger,0.48893983904520394,False
Thailand,0.48784455030151397,False
Myanmar,0.4854283768904344,False
Botswana,0.4847764865684613,False
Seychelles,0.4845997137962028,False
Sao Tome and Principe,0.483691215108738,False
Belgium,0.4836543764039983,True
Guyana,0.48253150005510115,False
Eswatini,0.48140971720443093,False
Saint Kitts and Nevis,0.4813291221037546,False
Mauritius,0.48051153626613097,False
Mexico,0.47989873198896477,False
Bhutan,0.4794906159087112,False
Ecuador,0.477170897717309,True
Mauritania,0.4760950123739743,False
World,0.47560214102952636,False
Uganda,0.47321766497329154,False
Finland,0.47280651865527534,False
New Zealand,0.47259935016383403,True
Armenia,0.47113789960620395,False
New Caledonia,0.4681680741273064,False
Dominica,0.4681041872523715,False
Central African Republic,0.4665235560384306,False
Jamaica,0.4664404236879763,False
India,0.4654663817095827,True
South Korea,0.4643662039792394,False
Papua New Guinea,0.4628662341677046,False
Equatorial Guinea,0.4534488941524721,False
Madagascar,0.4531614708304831,False
Guatemala,0.4531513567029425,False
Japan,0.4512736654934457,False
El Salvador,0.4509804865198991,True
Upper-middle-income countries,0.4509454529185176,False
Aruba,0.4493497198080042,False
Barbados,0.4474649542834725,False
Angola,0.447268296419501,False
Gabon,0.44296702464489646,False
Australia,0.44258248342482787,False
Venezuela,0.4396156548631515,False
Zimbabwe,0.43862615051258,False
Comoros,0.4382289475102862,False
Fiji,0.437584640451899,False
Lesotho,0.4371927257836718,False
Saint Vincent and the Grenadines,0.4371406629178477,False
Malawi,0.43627128274041205,False
Kenya,0.4356135835376267,False
Antigua and Barbuda,0.4351646398457854,False
Syria,0.43482724679700263,False
Haiti,0.433706936763999,False
Cayman Islands,0.4334849280590689,False
Guinea-Bissau,0.4316758864701695,False
Rwanda,0.4308582878823623,False
Vietnam,0.42945824623474155,False
Philippines,0.42888023005882536,True
Indonesia,0.42824780376739546,False
Cambodia,0.4278494370453208,False
South Sudan,0.4241879162989884,False
Lower-middle-income countries,0.4235873449067815,False
Zambia,0.4235179355466975,False
Yemen,0.42343173081856755,False
Sudan,0.422243200384035,False
Afghanistan,0.420755684419071,False
Mozambique,0.41858884358247206,False
Ethiopia,0.41793823304364974,False
Asia,0.4166518771753181,False
Mali,0.416056754385276,False
Chad,0.41347593072757977,False
Cuba,0.41312264284844397,False
Pakistan,0.41310078501764663,True
Congo,0.4130726714114366,False
Algeria,0.4130302577792895,False
Ghana,0.41277559875908193,False
Nicaragua,0.4125871806647027,False
Egypt,0.4118266782204606,False
Cote d'Ivoire,0.4073562911091646,False
Democratic Republic of Congo,0.40084016091118907,False
Benin,0.39933971821648,False
Oceania,0.3979233422766466,False
Africa,0.3968292395474262,False
Tajikistan,0.3952619756339795,False
Somalia,0.39176566713241306,False
Bangladesh,0.3915610517478152,False
Liberia,0.3897374211856013,False
Nigeria,0.3890200715282377,False
Northern Mariana Islands,0.38741869832720705,False
Cameroon,0.38582253451207504,False
Burundi,0.3856842905283775,False
Sierra Leone,0.3828026444112894,False
China,0.3826011594269138,False
Togo,0.37928854753632857,False
Senegal,0.3776356400811206,False
Low-income countries,0.37046988426563193,False
Guinea,0.3551326934105277,False
Qatar,0.24333437596458904,False
Andorra,0.23533141945474118,False
Bahrain,0.2161083449900556,False
