country,population,naive_rmse,medida_rmse,improvement
Afghanistan,41128772.0,0.00019425503105611065,3.2615771115899824e-05,5.955861977502457
Africa,1426736614.0,0.00021530964442343818,5.2439854178988274e-05,4.105839876833772
Albania,2842318.0,0.0022546438040235714,0.0003804295090878658,5.92657443800667
Algeria,44903228.0,0.00017195283147921356,3.9178431848033966e-05,4.388966667838759
American Samoa,44295.0,2.6910621345446606e-05,1.3695513437036795e-05,1.9649224155899243
Andorra,79843.0,0.004929471844213326,0.004361137645735674,1.1303178768121134
Angola,35588996.0,7.043582339430911e-05,1.55365626284895e-05,4.533552567486869
Anguilla,15877.0,0.00439142400191508,0.0009701027807114066,4.52676158571024
Antigua and Barbuda,93772.0,0.002392235370136449,0.0004843929682340446,4.938625304281029
Argentina,45510324.0,0.002979084305422138,0.0013120099349726569,2.2706263314112967
Armenia,2780472.0,0.0032180190124588997,0.0009198972849203615,3.498237319764993
Aruba,106459.0,0.003955563262119785,0.0019706959365587543,2.0071910581127104
Asia,4721383370.0,0.0005958685702733827,0.00012692317323557872,4.694718506347198
Australia,26177410.0,0.0005074952201164167,0.00022987616069943388,2.20768964720954
Austria,8939617.0,0.0036976100659466484,0.0011334740792637668,3.262191993264092
Azerbaijan,10358078.0,0.0020752665416686558,0.00040653551328858066,5.104760774480041
Bahamas,409989.0,0.0018082633724480868,0.0003463872517198024,5.220351971587039
Bahrain,1472237.0,0.003508564314928251,0.004674568104837863,0.7505643807600372
Bangladesh,171186368.0,0.0003767851892372623,7.780643617275351e-05,4.842596676715622
Barbados,281646.0,0.004160198007178099,0.0008162852069897221,5.096500550977742
Belarus,9534956.0,0.0018309706773033038,0.0002992676333831396,6.118171405990938
Belgium,11655923.0,0.004049731402513326,0.0012710343588181777,3.186169889442495
Belize,405285.0,0.0026798450279890773,0.0005779960874386991,4.636441467734495
Benin,13352864.0,0.0001248148314561871,2.3249339587809113e-05,5.368532339801784
Bermuda,64207.0,0.0041811465254851295,0.0012664374720287022,3.301502535918622
Bhutan,782457.0,0.00016223831563711179,3.421053279050886e-05,4.742349867235101
Bolivia,12224114.0,0.0014053744089216418,0.0002711626397799444,5.182773003176766
Bonaire Sint Eustatius and Saba,27052.0,0.004389165226594113,0.0011593804483813405,3.785785099897113
Bosnia and Herzegovina,3233530.0,0.002612547151488724,0.0004883933681377001,5.3492682782542
Botswana,2630300.0,0.0027698349797930476,0.0006448626574361515,4.295232400035959
Brazil,215313504.0,0.0024456747504347756,0.0008345257278206695,2.93061635957175
British Virgin Islands,31332.0,0.006776770711266832,0.0024322772656333964,2.786183469713135
Brunei,449002.0,0.00211966109102149,0.00031154197545682667,6.803773674200225
Bulgaria,6781955.0,0.003129512512400866,0.0006324583675550685,4.948171568191605
Burkina Faso,22673764.0,3.4762102703718695e-05,6.535066188759635e-06,5.319319146837377
Burundi,12889583.0,8.693912164353482e-05,2.5540315708330805e-05,3.4039955745408736
Cambodia,16767851.0,0.00035104283975849606,5.282021411453954e-05,6.645994258888594
Cameroon,27914542.0,0.00015999540783306595,3.769263081373795e-05,4.244739737687715
Canada,38454328.0,0.0014905422710542826,0.0002983450622700568,4.996034657698037
Cape Verde,593162.0,0.002060091736646283,0.00041065308012330716,5.016623121462275
Cayman Islands,68722.0,0.006347932079074114,0.0017848553174998148,3.5565527451077408
Central African Republic,5579148.0,0.00012069738292964534,2.2377428749402842e-05,5.39371097016078
Chad,17723312.0,1.4710323982891242e-05,7.63667610955861e-06,1.9262731287606591
Chile,19603736.0,0.0024261433087860865,0.0006442840815403732,3.7656421729147684
China,1425887360.0,1.509307257299865e-06,9.303514823862986e-06,0.16222979012497274
Colombia,51874028.0,0.002639879243027478,0.000871986226088636,3.0274322736367836
Comoros,836783.0,0.00034556111769038075,9.642880156205598e-05,3.5835882235661476
Congo,5970430.0,0.00011784151870349621,3.173469584631141e-05,3.7133337995168834
Cook Islands,17032.0,0.0,9.611762525055278e-06,0.0
Costa Rica,5180836.0,0.002694506982216728,0.0008483341700415227,3.176232995642321
Cote d'Ivoire,28160548.0,8.397144213784608e-05,1.7663258744482335e-05,4.754017554324576
Croatia,4030361.0,0.003993673305254871,0.0010453036952521376,3.82058661362673
Cuba,11212198.0,0.003529261828307102,0.0007062344672648899,4.997294796408413
Curacao,191173.0,0.00390953020817173,0.0010743982523156402,3.6388091657311965
Cyprus,896007.0,0.0038271158520492726,0.0015023441232305743,2.5474295754687764
Czechia,10493990.0,0.0047684748655207835,0.0035709090951376453,1.3353671959932591
Democratic Republic of Congo,99010216.0,2.6333222168427644e-05,7.844266852214631e-06,3.3570023387199175
Denmark,5882259.0,0.0027812131289548054,0.0011193408486995856,2.4846883165087115
Djibouti,1120851.0,0.0006453087371895684,0.00016398838553327157,3.935088055724787
Dominica,72758.0,0.0043452287773375516,0.0010963347265722306,3.963414340548367
Dominican Republic,11228821.0,0.0010570852052151547,0.0002261134202507392,4.675021960407938
East Timor,1341298.0,0.0005218059989257794,0.00019087070716865617,2.733819173545074
Ecuador,18001002.0,0.0008658409637415782,0.00020498228236663006,4.223979525181305
Egypt,110990096.0,0.00011176055170957252,2.424450765387687e-05,4.609726594786148
El Salvador,6336393.0,0.0005702604401744558,0.0001470318675055783,3.878481922654083
England,56550000.0,0.0,9.61176252505528e-06,0.0
Equatorial Guinea,1674916.0,0.0003409334167526347,8.466524819576135e-05,4.026840102852295
Eritrea,3684041.0,9.065699938589467e-05,1.7331021133045062e-05,5.2309092862992905
Estonia,1326064.0,0.004018301403134935,0.0014967580956182808,2.6846698974927246
Eswatini,1201680.0,0.0022394800956744387,0.0006728135627564068,3.3285299518928486
Ethiopia,123379928.0,0.00011045991708149998,2.4959281648865887e-05,4.425604816495955
Europe,744807803.0,0.002614366962268689,0.00039350520110264186,6.643792648592611
European Union (27),450146793.0,0.0019915646323267824,0.0007874051008362044,2.529275756801411
Falkland Islands,3801.0,0.0011182752904376504,0.0003977666080870753,2.8113855404193413
Faroe Islands,53117.0,0.002775515308117464,0.00121084608848401,2.2922114829577005
Fiji,929769.0,0.0036771702124410582,0.0005271567184686382,6.975478228036321
Finland,5540745.0,0.0015796709767726665,0.000692234995053554,2.281986591345988
France,67813000.0,0.0031352210194477586,0.0008244905501235934,3.8026160748328532
French Guiana,304568.0,0.0033901266179959277,0.0014853087128629803,2.282439057037072
French Polynesia,306292.0,0.0054007759430688635,0.0029105365510054756,1.8555946123415314
Gabon,2388997.0,0.0005871901380139458,0.00013241080936130282,4.434608781913787
Gambia,2705995.0,0.00019122356302207687,3.9696271817449057e-05,4.81716680854704
Georgia,3744385.0,0.004473594321622428,0.0017704604748823318,2.5267970593468077
Germany,83369840.0,0.002496289387310552,0.0005308673931693341,4.702284260495719
Ghana,33475870.0,0.00015095867294536192,3.8572600352870115e-05,3.913624478628892
Gibraltar,32677.0,0.005974333214324375,0.0032685084388842742,1.8278469601760463
Greece,10384972.0,0.002681570952429944,0.000551758968725507,4.860040532959585
Greenland,56494.0,0.001918107798894084,0.0003868466925656196,4.95831510455197
Grenada,125459.0,0.004118922286793961,0.0008242015992399929,4.997469418394811
Guadeloupe,395762.0,0.0050931128835899325,0.0023472874161923436,2.1697866432785355
Guam,171783.0,0.0030909665157912523,0.0007716047002299326,4.005893840291754
Guatemala,17843914.0,0.0011646441511509054,0.00021956429789865773,5.304342109792638
Guernsey,63329.0,0.0038554143680302215,0.0012106653024486298,3.18454188802839
Guinea,13859349.0,7.65139899091279e-05,1.6182203709246207e-05,4.728279984845899
Guinea-Bissau,2105580.0,0.00013420443890406638,2.975666196244644e-05,4.5100636312445035
Guyana,808727.0,0.0015089902954211428,0.00029068828697522195,5.191094251244351
Haiti,11585003.0,8.568290978373707e-05,1.5972254960621326e-05,5.364484225613938
High-income countries,1250514600.0,0.0016416898481938654,0.0006365036404454685,2.5792308855372754
Honduras,10432858.0,0.001062213264922823,0.000221398916665463,4.797734699523588
Hong Kong,7488863.0,0.0,9.611762525055278e-06,0.0
Hungary,9967304.0,0.003708131066143167,0.0009805176932119496,3.781809437824814
Iceland,372903.0,0.00200693904015552,0.0006661132575368785,3.012909617767829
India,1417173120.0,0.001095078652194971,0.0001963198458500077,5.5780333743315635
Indonesia,275501344.0,0.0007006035842682216,0.00012563646570421097,5.576434997126312
Iran,88550568.0,0.0020640825365700506,0.00041309141907220324,4.996672507034756
Iraq,44496124.0,0.0014481767556569045,0.0002713070269317865,5.3377782803281875
Ireland,5023108.0,0.0034356655441099156,0.0009536234792522012,3.602748483923704
Isle of Man,84534.0,0.005434966441670394,0.0016787894037530052,3.2374319432326026
Israel,9449000.0,0.0037552504822474723,0.0017804975923401164,2.109101690675093
Italy,59037472.0,0.0028001267371923835,0.0005533244191845628,5.0605515319908445
Jamaica,2827382.0,0.0012825944700836972,0.0002432092886332508,5.273624528452097
Japan,123951696.0,0.0006863085218584406,0.00012717621059840122,5.396516523248795
Jersey,110796.0,0.004804199150053545,0.00149593820543278,3.211495723958514
Jordan,11285875.0,0.003035933065727426,0.0005605361382088056,5.416123705116956
Kazakhstan,19397998.0,0.0018555224650508271,0.00034561424679366726,5.368767295517709
Kenya,54027484.0,0.00017310930581585852,4.672705414083413e-05,3.704691190121071
Kiribati,131237.0,0.0,9.611762525055278e-06,0.0
Kosovo,1782115.0,0.0030776371264387573,0.0010137423329121685,3.0359165505081127
Kuwait,4268886.0,0.002454112540479919,0.0008757938728887757,2.8021576953776965
Kyrgyzstan,6630621.0,0.0008199597494275439,0.00013198255240281202,6.2126374622989475
Laos,7529477.0,0.000782380279919213,0.00010975343242522955,7.128526758852996
Latvia,1850654.0,0.0036119698007041957,0.0010476046773370416,3.4478366494941977
Lebanon,5489744.0,0.003459587340960343,0.0011862233221729649,2.9164721990315883
Lesotho,2305826.0,0.0005437468444063276,0.000159526808257471,3.4084982351601885
Liberia,5302690.0,7.42849148981606e-05,1.6517311463207735e-05,4.497397476800631
Libya,6812344.0,0.0017513757962605736,0.0003364929176409459,5.204792447160435
Liechtenstein,39355.0,0.004159568911884655,0.0012735691624645579,3.2660722593465055
Lithuania,2750058.0,0.004268550179481507,0.00118143350136157,3.6130261877305148
Low-income countries,737604900.0,4.096892089117739e-05,1.5031971344588177e-05,2.725452301100019
Lower-middle-income countries,3432097300.0,0.00041347117592628694,0.00017211106391050858,2.4023509385850796
Luxembourg,647601.0,0.0035544899880693114,0.0009913560416019178,3.5854827518130246
Macao,695180.0,0.0,9.611762525055278e-06,0.0
Madagascar,29611718.0,7.769182764515276e-05,1.5193468699610546e-05,5.113501675041738
Malawi,20405318.0,0.00017791857743925424,4.088747439278313e-05,4.3514200884625405
Malaysia,33938216.0,0.0028356958678470287,0.000489717423104661,5.790473718230344
